Designator,Val,Package, Mid X, Mid Y,Rotation,Layer
C156,CC0402_4.7UF_16V_20%_X5R,CAPC1005X55N,173.600000,-94.500000,0.000000,bottom
C157,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,180.900000,-98.300000,-90.000000,bottom
C158,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,179.700000,-99.100000,-45.000000,bottom
C159,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,182.500000,-98.300000,-90.000000,bottom
C160,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,183.300000,-98.300000,-90.000000,bottom
C161,CC0402_4.7UF_16V_20%_X5R,CAPC1005X55N,177.600000,-98.600000,0.000000,bottom
C162,CC0402_4.7UF_16V_20%_X5R,CAPC1005X55N,177.600000,-99.800000,0.000000,bottom
C163,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,182.700000,-101.700000,-90.000000,bottom
C164,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,181.100000,-101.650000,-90.000000,bottom
C165,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,183.100000,-99.900000,-90.000000,bottom
C166,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,184.400000,-101.700000,90.000000,bottom
C167,CC0402_4.7UF_16V_20%_X5R,CAPC1005X55N,177.600000,-101.800000,0.000000,bottom
C168,CC0402_4.7UF_16V_20%_X5R,CAPC1005X55N,177.600000,-100.800000,0.000000,bottom
C169,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,179.300000,-101.500000,90.000000,bottom
C178,CC0402_22PF_50V_5%_C0G,CAPC1005X55N,146.400000,-128.937500,-90.000000,bottom
C179,CC0402_22PF_50V_5%_C0G,CAPC1005X55N,131.800000,-128.900000,-90.000000,bottom
C186,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,164.450000,-112.700000,0.000000,bottom
C229,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,197.700000,-112.200000,180.000000,bottom
C230,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,193.000000,-113.100000,180.000000,bottom
C231,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,191.600000,-112.800000,90.000000,bottom
C232,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,191.700000,-114.500000,90.000000,bottom
C233,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,192.500000,-115.300000,90.000000,bottom
C234,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,191.600000,-116.750000,90.000000,bottom
C235,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,198.100000,-117.600000,-90.000000,bottom
C236,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,197.800000,-115.600000,0.000000,bottom
C237,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,197.800000,-114.800000,0.000000,bottom
C238,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,198.200000,-113.600000,-90.000000,bottom
C239,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,192.000000,-118.000000,0.000000,bottom
C240,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,192.300000,-119.300000,-90.000000,bottom
